method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo,28,15.0,0.0,40.0,0.0,27,26.892857142857142,13.259334409373338,13.392857142857142,2.0413455946347483,13.5,13.5
bo_marginal_random,28,15.0,0.0,40.0,0.0,27,25.946428571428573,12.102493312857277,16.142857142857142,7.1149454656794,9.803571428571429,10.044845236056478
random,28,15.0,0.0,40.0,0.0,28,27.071428571428573,11.857573141934505,13.392857142857142,8.562122924812037,13.678571428571429,11.047150800832155
fixed_dumb,28,15.0,0.0,40.0,0.0,28,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,28,26.696428571428573,5.397319582299105,13.392857142857142,10.794639164598209,13.303571428571429,5.3973195822991045
bo_marginal_random,28,15.0,0.0,40.0,0.0,28,22.053571428571427,12.430046607855877,11.821428571428571,7.40199573198516,10.232142857142858,12.095957222247812
random,28,15.0,0.0,40.0,0.0,29,24.285714285714285,12.937644803488173,12.214285714285714,8.784552768749172,12.071428571428571,13.107872692798487
fixed_dumb,28,15.0,0.0,40.0,0.0,29,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,29,31.803571428571427,8.337029367434745,18.107142857142858,5.48595144576637,13.696428571428571,3.9851046000662755
bo_marginal_random,28,15.0,0.0,40.0,0.0,29,24.267857142857142,11.471612589699989,11.035714285714286,7.80788128778106,13.232142857142858,11.949657902199203
random,28,15.0,0.0,40.0,0.0,30,27.767857142857142,11.718789965918244,14.964285714285714,9.774172025062287,12.803571428571429,11.496380863523253
fixed_dumb,28,15.0,0.0,40.0,0.0,30,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,30,38.642857142857146,7.051921145101858,7.107142857142857,5.48595144576637,31.535714285714285,8.121761521005258
bo_marginal_random,28,15.0,0.0,40.0,0.0,30,26.696428571428573,13.042745168506983,14.178571428571429,9.453093112191114,12.517857142857142,12.164411017725573
