method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
fixed_dumb,140,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,3,25.76484111092088,7.351531927183015,13.619046779301287,7.075546163460947,12.14579433161959,9.480756298868116
bo_marginal_random,140,15.0,0.0,40.0,0.0,3,27.178890831287124,8.78850973928246,15.658483569148816,6.618780172723421,11.520407262138304,8.452993411073741
random,140,15.0,0.0,40.0,0.0,4,25.45401575482419,8.840398181996983,13.034064258729806,6.458287843639127,12.419951496094384,8.577935124069686
fixed_dumb,140,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,4,24.52731445470227,7.543126391869805,11.73989441295518,6.251479186523618,12.787420041747094,10.126591374470255
bo_marginal_random,140,15.0,0.0,40.0,0.0,4,26.895968665080403,8.44890653733415,14.873139260927466,6.9745196998286865,12.022829404152938,9.344883222515202
random,140,15.0,0.0,40.0,0.0,5,26.002022925053883,8.946576860971945,13.12910597949063,6.401806397667331,12.87291694556325,8.547528313423184
fixed_dumb,140,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,5,27.617653297082157,6.393777640868012,17.31063946133993,6.2441140608431915,10.30701383574223,7.985717253149918
bo_marginal_random,140,15.0,0.0,40.0,0.0,5,26.301489150553913,9.074517278825303,13.886841567666488,6.756031708826573,12.414647582887422,8.961487342480707
random,140,15.0,0.0,40.0,0.0,6,27.84493175131043,8.22590086425479,14.344730077039433,6.169012993264345,13.500201674270999,8.739438613544785
fixed_dumb,140,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,6,24.553725995485188,8.171694122532802,15.880581492677317,7.272717876852256,8.673144502807865,6.157209506332521
bo_marginal_random,140,15.0,0.0,40.0,0.0,6,24.986819486738472,8.724653507402145,15.198416987390802,6.960712683952096,9.788402499347672,8.45348338819281
random,140,15.0,0.0,40.0,0.0,7,27.56415136514547,7.716779185210379,13.455090568747966,6.0772010442876745,14.109060796397511,8.96471571329654
fixed_dumb,140,15.0,0.0,40.0,0.0,7,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,7,23.271090846341867,9.085147322481877,14.580197079587178,7.34011588902325,8.690893766754689,5.207602041396185
bo_marginal_random,140,15.0,0.0,40.0,0.0,7,26.51682983356905,9.065046243996658,15.923697995822307,6.7923994962969125,10.593131837746743,8.436845233090347
random,140,15.0,0.0,40.0,0.0,8,27.031721266802574,8.779015495191265,12.82158607014629,6.256016677084156,14.210135196656282,9.200365314672968
fixed_dumb,140,15.0,0.0,40.0,0.0,8,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,8,24.81757771910861,11.064926756571282,16.252327119271733,6.240693625485832,8.565250599836872,7.103209582561263
bo_marginal_random,140,15.0,0.0,40.0,0.0,8,26.73494936976246,8.067644633787015,14.493358585744184,6.910531769140379,12.241590784018276,8.11342863162084
random,140,15.0,0.0,40.0,0.0,9,26.976911057302328,8.829855430836021,12.974372327169593,6.2796158155882,14.00253873013273,8.427155413810722
fixed_dumb,140,15.0,0.0,40.0,0.0,9,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,9,25.526210152521692,9.434937590336522,16.264928351227095,7.722940621317093,9.261281801294594,6.409355863575321
