method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
fixed_dumb,10,15.0,0.0,40.0,0.0,22,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,22,35.63932000533365,3.5812003058138795,6.556488350639586,2.2330740555801487,29.082831654694065,1.3481262502337312
bo_marginal_random,10,15.0,0.0,40.0,0.0,22,35.375048727445076,5.452960677239257,14.053386029684049,8.563807615412493,21.321662697761024,8.581551672342513
random,10,15.0,0.0,40.0,0.0,23,24.539005104440783,9.516783857074326,13.17856334521401,3.8181258469669577,11.360441759226768,7.402641990070642
fixed_dumb,10,15.0,0.0,40.0,0.0,23,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,23,30.363614007623653,5.254279373842547,8.366126567750161,4.0471613031786005,21.997487439873492,1.2071180706639453
bo_marginal_random,10,15.0,0.0,40.0,0.0,23,31.050541887852184,8.08534907313254,14.081726279984434,7.420726402010632,16.968815607867747,10.127128757767915
random,10,15.0,0.0,40.0,0.0,24,28.939731859505958,8.01215275944417,12.708868157159348,6.840190497192635,16.230863702346607,8.195733518699297
fixed_dumb,10,15.0,0.0,40.0,0.0,24,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,24,33.815897879615065,1.8019955018511418,17.7690940586568,5.3558061877280405,16.046803820958257,7.157801689579181
bo_marginal_random,10,15.0,0.0,40.0,0.0,24,33.89983453531203,8.228539678103822,18.361277542617856,6.584762524256004,15.53855699269418,7.722483657698056
random,10,15.0,0.0,40.0,0.0,25,22.415008245182605,8.466078420840573,12.504559974205888,5.746341651279537,9.910448270976719,7.698692482519072
fixed_dumb,10,15.0,0.0,40.0,0.0,25,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,25,22.406437183898127,16.244988719679483,10.060880742127555,7.234655783755122,12.34555644177058,9.010332935924364
bo_marginal_random,10,15.0,0.0,40.0,0.0,25,26.448962205157272,8.531728407593919,14.990860486960258,8.056393294446499,11.458101718197016,5.196402482183627
random,10,15.0,0.0,40.0,0.0,26,25.135388036081064,6.740589809272277,15.335627570718993,5.415895609004035,9.799760465362073,6.6271545711219995
fixed_dumb,10,15.0,0.0,40.0,0.0,26,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,26,23.731857251283248,14.919568652294368,10.144456835749239,7.151079690133438,13.587400415534015,7.76848896216093
