method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
gaussian_npe,5000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.081683712984015,0.10472411677858735,0.36277498207657927,0.015000000000000032,0.742729420444757,-0.18274705882306305,9.539039285992105,0.12460188406536273,0.12460188406536273,0.4316335878400302,0.006322088761549151,0.10536814602581919,0.365005964832111,0.10534785323711682,0.10534785323711682,0.36493566854999143,0.005014715027163042,0.08357858378605071,0.2895247070841844
rectified_fmpe,5000,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.07427337525870599,0.09240075353089622,0.3200855995463232,0.12416666666666672,0.562878169872452,-0.1797302371848081,,0.11530556067056281,0.11530556067056281,0.39943017895326094,0.005355870056554664,0.08926450094257773,0.30922130188964914,0.09340025131495455,0.09340025131495455,0.32354796143440623,0.004297962071729387,0.07163270119548978,0.24814295590797633
prior_mean,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,80,1,10717,wide_window,,10,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17973519389718767,0.2426794426170852,0.8406662491305747,0.1341666666666667,0.9429660961993449,-0.37051771890368634,,0.26392379757610923,0.26392379757610923,0.9142588534566897,0.014630301116354015,0.2438383519392336,0.8446808287852273,0.24325991187776605,0.24325991187776605,0.8426770536340371,0.013181742544513918,0.21969570907523198,0.7610482606463453
gaussian_npe,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17125054321066327,0.2322412003213078,0.8045071171345731,0.14083333333333337,0.9224907535826758,-0.35969860901290873,5.333032965620147,0.2574991282415614,0.2574991282415614,0.8920031460381566,0.013889074148138062,0.23148456913563437,0.8018860698222182,0.2250376954336422,0.2250376954336422,0.7795534442185579,0.012896604508463593,0.21494340847439322,0.7445858084593596
rectified_fmpe,80,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20328798582885024,0.27619399177622167,0.9567640530033531,0.19333333333333336,0.9661613918308435,-0.4211434642926394,,0.25797704893960816,0.25797704893960816,0.8936587119001681,0.0169278589843862,0.28213098307310336,0.9773303941439399,0.3134295389812031,0.3134295389812031,1.0857517722166674,0.015074303766658323,0.25123839611097204,0.8703153337526373
prior_mean,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,180,1,10717,wide_window,,13,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16384347536434898,0.23204507260014087,0.8038277107789054,0.07833333333333338,0.951023800791572,-0.34673078601263146,,0.23343864727665417,0.23343864727665417,0.8086551950666302,0.015485658183824448,0.2580943030637408,0.8940648921009576,0.22910754695017096,0.22910754695017096,0.793651823430336,0.012452387586599847,0.20753979310999746,0.7189389325176976
gaussian_npe,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.15942040675995128,0.21487281244740256,0.7443412566482388,0.12750000000000003,0.9707404741137617,-0.3438218598587788,6.385963507719914,0.22609802479112762,0.22609802479112762,0.7832265328584012,0.012795327804581813,0.2132554634096969,0.7387385952344813,0.22413640405386467,0.22413640405386467,0.7764312792941609,0.01176008145209526,0.19600135753492098,0.6789686192059123
rectified_fmpe,180,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17597462609881567,0.2418697071543805,0.8378612432063852,0.2758333333333334,0.9187406343722079,-0.40270210392493466,,0.25505705787971633,0.25505705787971633,0.883543566153409,0.014443165486177589,0.2407194247696265,0.8338765481394943,0.24169218334334958,0.24169218334334958,0.8372462826858674,0.013800609757489776,0.2300101626248296,0.7967785758467698
