batch,batch_size,best_label,best_mean_delta,best_policy,between_policy_std,final_simulations,mean_policy_delta,mean_within_policy_std,n,paired_eta_squared,policies,positive_observation_fraction,positive_policy_fraction,range_of_policy_means,rank_stability_spearman,raw_eta_squared,replicates,reward,reward_label,winner_stability,worst_label,worst_mean_delta,worst_policy
112,112,medium late,0.008661193784096263,medium_late,0.009567672416241117,612,-0.004420155625667354,0.011073767949294018,27,0.43443407523482425,9,0.4444444444444444,0.3333333333333333,0.02490907519602687,0.05000000000000001,0.4145655004010671,3,neg_range_rmse_delta,-range-normalized RMSE delta,0.3333333333333333,short middle,-0.01624788141193061,short_middle
112,112,medium late,0.01828538470384224,medium_late,0.013306097076438426,612,0.001112483937884207,0.014369729707332492,27,0.5150899858946325,9,0.5925925925925926,0.5555555555555556,0.03935551394613216,0.38888888888888884,0.5049804990161872,3,neg_range_rmse_gamma,-range-normalized RMSE gamma,0.3333333333333333,short early,-0.02107012924228992,short_early
112,112,long late,0.0182984321765558,long_late,0.010029678896072551,612,0.0052499084482217125,0.007788192573901783,27,0.7009309166384982,9,0.7037037037037037,0.7777777777777778,0.032224365809190615,0.5222222222222223,0.6484487149840427,3,neg_raw_rmse,-raw RMSE,0.3333333333333333,short early,-0.013925933632634816,short_early
112,112,medium late,0.01895116285486474,medium_late,0.01697440362707724,612,-0.004167163074339012,0.012789767575683416,27,0.6919067905604784,9,0.37037037037037035,0.3333333333333333,0.05778939343426838,0.4444444444444444,0.6466179536546497,3,rmse_coverage,-RMSE - coverage penalty,0.3333333333333333,short early,-0.038838230579403644,short_early
112,112,medium late,0.02602428734619557,medium_late,0.017788330253345988,612,-0.0013787032870234413,0.015294245758059575,27,0.618063442705235,9,0.4444444444444444,0.3333333333333333,0.06318721258721033,0.2833333333333333,0.5607259606042347,3,rmse_coverage_predictive,-RMSE - coverage - predictive penalties,0.3333333333333333,short early,-0.037162925241014756,short_early
112,112,medium late,0.030121509568417765,medium_late,0.014124798466636177,612,0.00785740782408765,0.012883450316214882,27,0.6320342829070361,9,0.6666666666666666,0.7777777777777778,0.048673323698321426,0.3111111111111111,0.5511726031187513,3,rmse_predictive,-RMSE - predictive penalty,0.3333333333333333,short early,-0.01855181412990366,short_early
224,224,long late,-0.02416666666666663,long_late,0.021837428541894754,724,-0.049567901234567883,0.042659426078412596,27,0.49858038261321674,9,0.14814814814814814,0.0,0.07194444444444448,0.21666666666666665,0.22849062068030604,3,neg_coverage_error,-coverage error,0.3333333333333333,short early,-0.0961111111111111,short_early
224,224,medium early,0.05834556603523481,medium_early,0.02268012657464304,724,0.028916599707918197,0.053163988999372185,27,0.37387699809762925,9,0.7037037037037037,0.8888888888888888,0.0586113670275203,0.1111111111111111,0.17669021542308674,3,neg_predictive_rmse,-posterior-mean predictive RMSE,0.3333333333333333,short late,-0.00026580099228549575,short_late
224,224,long late,0.10182965163440678,long_late,0.057202204440217744,724,0.028147226715343934,0.02425686381088528,27,0.8943511921825754,9,0.6666666666666666,0.6666666666666666,0.15489181487232961,0.7777777777777777,0.8471506902438601,3,neg_prior_std_rmse,-prior-std-normalized RMSE,0.6666666666666666,short late,-0.05306216323792282,short_late
224,224,long late,0.029395688391305297,long_late,0.016512854065899855,724,0.008125404460522647,0.00700235342545536,27,0.8943511921825753,9,0.6666666666666666,0.6666666666666666,0.04471341550590455,0.7777777777777777,0.8471506902438599,3,neg_range_rmse,-range-normalized RMSE,0.6666666666666666,short late,-0.01531772711459925,short_late
224,224,long late,0.042202068323042484,long_late,0.016163873846145427,724,0.018750426283001068,0.019774227863569357,27,0.6253378990795289,9,0.7407407407407407,0.7777777777777778,0.048600999985499015,0.39444444444444443,0.42828475300532554,3,neg_range_rmse_alpha,-range-normalized RMSE alpha,0.6666666666666666,short early,-0.006398931662456531,short_early
224,224,long late,0.03820024796560711,long_late,0.015637079554495753,724,0.01621740702031239,0.01470365344213083,27,0.5641751708606603,9,0.8148148148148148,1.0,0.03797903968866727,0.25555555555555554,0.5248458912731488,3,neg_range_rmse_beta,-range-normalized RMSE beta,0.3333333333333333,short early,0.00022120827693984194,short_early
224,224,long late,0.017038861005181465,long_late,0.020135615745019424,724,-0.0065760693455577625,0.011212516502087343,27,0.9009422284862875,9,0.4074074074074074,0.4444444444444444,0.05605628234244758,0.811111111111111,0.7716032266446169,3,neg_range_rmse_delta,-range-normalized RMSE delta,1.0,short middle,-0.03901742133726612,short_middle
224,224,long middle,0.024856226286481597,long_middle,0.021324058175354807,724,0.004109853884334789,0.012188516497619884,27,0.7760108809454898,9,0.7037037037037037,0.7777777777777778,0.06091821215609514,0.4444444444444445,0.7690289174421003,3,neg_range_rmse_gamma,-range-normalized RMSE gamma,0.3333333333333333,short middle,-0.036061985869613546,short_middle
224,224,long late,0.02217494110885383,long_late,0.01176235794641223,724,0.008114494582364006,0.008244069298073082,27,0.7809393696217246,9,0.6666666666666666,0.6666666666666666,0.03288883750876405,0.4666666666666666,0.7072375981032553,3,neg_raw_rmse,-raw RMSE,0.6666666666666666,short late,-0.010713896399910217,short_late
224,224,long late,0.023354021724638647,long_late,0.0192945115692843,724,-0.004266570848119328,0.014280846409325289,27,0.8584301474870288,9,0.4444444444444444,0.4444444444444444,0.05319847908687081,0.75,0.6897376148107633,3,rmse_coverage,-RMSE - coverage penalty,0.6666666666666666,short early,-0.029844457362232162,short_early
224,224,long late,0.027881855295619578,long_late,0.02057349341078952,724,-0.0013749108773275097,0.015275096334448401,27,0.8253640096838865,9,0.4444444444444444,0.6666666666666666,0.05720259840014279,0.7111111111111111,0.6962356894539827,3,rmse_coverage_predictive,-RMSE - coverage - predictive penalties,0.6666666666666666,short middle,-0.029320743104523206,short_middle
224,224,long late,0.03392352196228621,long_late,0.017823218836946684,724,0.011017064431314455,0.01107016702355237,27,0.8555958756855625,9,0.7037037037037037,0.6666666666666666,0.04926782917611402,0.6611111111111111,0.7542784223475649,3,rmse_predictive,-RMSE - predictive penalty,0.6666666666666666,short late,-0.01534430721382781,short_late
